countries,dateRep,cases,temp_f,moving_avg_temp,humidity,moving_avg_humidity,wind_speed,moving_avg_wind_speed,quarantine_days,pandamic_days
China,1/1/2020,0,54.3,,75,,3,,0,1
China,2/1/2020,0,59.3,,79.3,,2.5,,0,2
China,3/1/2020,17,62,,74.3,,1.3,,0,3
China,4/1/2020,0,60.3,,71.8,,3,,0,4
China,5/1/2020,15,63,,69.5,,2.5,,0,5
China,6/1/2020,0,69.3,,63,,4.8,,0,6
China,7/1/2020,0,69,62.45714286,65.3,71.17142857,4.3,3.057142857,0,7
China,8/1/2020,0,54.5,62.48571429,64,69.6,3.5,3.128571429,0,8
China,9/1/2020,0,56.3,62.05714286,66.8,67.81428571,2.5,3.128571429,0,9
China,10/1/2020,0,53.5,60.84285714,67.3,66.81428571,3.5,3.442857143,0,10
China,11/1/2020,0,46.8,58.91428571,80.3,68.02857143,4.8,3.7,0,11
China,12/1/2020,0,45,56.34285714,75.8,68.92857143,4.8,4.028571429,0,12
China,13/01/2020,0,49,53.44285714,66.8,69.47142857,2,3.628571429,0,13
China,14/01/2020,0,46.5,50.22857143,80.5,71.64285714,2.5,3.371428571,0,14
China,15/01/2020,0,51.5,49.8,80.5,74,2,3.157142857,0,15
China,16/01/2020,0,46.3,48.37142857,85.8,76.71428571,4,3.371428571,0,16
China,17/01/2020,4,43,46.87142857,80,78.52857143,4,3.442857143,0,17
China,18/01/2020,17,43.5,46.4,79,78.34285714,2.5,3.114285714,0,18
China,19/01/2020,136,45.5,46.47142857,80,78.94285714,2.5,2.785714286,0,19
China,20/01/2020,19,50.5,46.68571429,68,79.11428571,1.5,2.714285714,0,20
China,21/01/2020,151,56,48.04285714,70.8,77.72857143,2,2.642857143,0,21
China,22/01/2020,140,64.8,49.94285714,73,76.65714286,5.3,3.114285714,0,22
China,23/01/2020,97,61.3,52.08571429,76.8,75.37142857,2,2.828571429,1,23
China,24/01/2020,259,51.8,53.34285714,84.5,76.01428571,3.5,2.757142857,2,24
China,25/01/2020,441,48.5,54.05714286,89.3,77.48571429,3,2.828571429,3,25
China,26/01/2020,665,45,53.98571429,87,78.48571429,5.5,3.257142857,4,26
China,27/01/2020,787,43,52.91428571,79.8,80.17142857,4,3.614285714,5,27
China,28/01/2020,1753,43.5,51.12857143,72.3,80.38571429,3,3.757142857,6,28
China,29/01/2020,1466,45.5,48.37142857,66,79.38571429,2.5,3.357142857,7,29
China,30/01/2020,1740,44.3,45.94285714,67.8,78.1,3,3.5,8,30
China,31/01/2020,1980,46.5,45.18571429,62.3,74.92857143,3,3.428571429,9,31
China,1/2/2020,2095,52.3,45.72857143,55.3,70.07142857,2.5,3.357142857,10,32
China,2/2/2020,2590,53.8,46.98571429,76.3,68.54285714,2.5,2.928571429,11,33
China,3/2/2020,2812,49.3,47.88571429,92,70.28571429,3,2.785714286,12,34
China,4/2/2020,3237,49.3,48.71428571,91.8,73.07142857,2,2.642857143,13,35
China,5/2/2020,3872,54,49.92857143,84,75.64285714,1.5,2.5,14,36
China,6/2/2020,3727,55,51.45714286,97.3,79.85714286,2,2.357142857,15,37
China,7/2/2020,3160,50.8,52.07142857,84.5,83.02857143,3,2.357142857,16,38
China,8/2/2020,3418,48,51.45714286,83.5,87.05714286,3.5,2.5,17,39
China,9/2/2020,2607,49.5,50.84285714,75.3,86.91428571,3,2.571428571,18,40
China,10/2/2020,2974,49.8,50.91428571,80.5,85.27142857,3,2.571428571,19,41
China,11/2/2020,2490,56.8,51.98571429,85.5,84.37142857,2,2.571428571,20,42
China,12/2/2020,2028,66.7,53.8,81,83.94285714,2.7,2.742857143,21,43
China,13/02/2020,15141,63.5,55.01428571,89.8,82.87142857,3.3,2.928571429,22,44
China,14/02/2020,4156,62,56.61428571,95.3,84.41428571,2,2.785714286,23,45
China,15/02/2020,2538,59,58.18571429,93,85.77142857,4.8,2.971428571,24,46
China,16/02/2020,2007,43,57.25714286,75,85.72857143,5.5,3.328571429,25,47
China,17/02/2020,2052,46.5,56.78571429,57.3,82.41428571,3.3,3.371428571,26,48
China,18/02/2020,1890,47.3,55.42857143,60.3,78.81428571,2.5,3.442857143,27,49
China,19/02/2020,1750,47,52.61428571,69.5,77.17142857,3,3.485714286,28,50
China,20/02/2020,394,57.3,51.72857143,63.3,73.38571429,2.5,3.371428571,29,51
China,21/02/2020,891,60.5,51.51428571,65.8,69.17142857,2.5,3.442857143,30,52
China,22/02/2020,826,59.5,51.58571429,66.5,65.38571429,3,3.185714286,31,53
China,23/02/2020,647,61.5,54.22857143,71.8,64.92857143,3,2.828571429,32,54
China,24/02/2020,218,66.8,57.12857143,70,66.74285714,4.8,3.042857143,33,55
China,25/02/2020,515,69,60.22857143,69.5,68.05714286,2.3,3.014285714,34,56
China,26/02/2020,410,71,63.65714286,66.5,67.62857143,2,2.871428571,35,57
China,27/02/2020,439,69,65.32857143,70.5,68.65714286,3,2.942857143,36,58
China,28/02/2020,329,70.5,66.75714286,68.5,69.04285714,3.8,3.128571429,37,59
China,29/02/2020,428,72,68.54285714,65.8,68.94285714,3.8,3.242857143,38,60
China,1/3/2020,574,62.8,68.72857143,79.8,70.08571429,4.3,3.428571429,39,61
China,2/3/2020,205,60.5,67.82857143,66.3,69.55714286,3.5,3.242857143,40,62
China,3/3/2020,127,54.5,65.75714286,89.5,72.41428571,3.5,3.414285714,41,63
China,4/3/2020,119,50.5,62.82857143,92,76.05714286,3.5,3.628571429,42,64
China,5/3/2020,117,52.8,60.51428571,83.5,77.91428571,2.5,3.557142857,43,65
China,6/3/2020,170,61,59.15714286,81.8,79.81428571,2.5,3.371428571,44,66
China,7/3/2020,101,66.8,58.41428571,87.3,82.88571429,2,3.114285714,45,67
China,8/3/2020,46,71.5,59.65714286,77,82.48571429,3,2.928571429,46,68
China,9/3/2020,45,68.5,60.8,86,85.3,4.3,3.042857143,47,69
China,10/3/2020,20,58,61.3,73.8,83.05714286,6,3.4,48,70
China,11/3/2020,29,55.5,62.01428571,78.3,81.1,2,3.185714286,49,71
China,12/3/2020,24,55,62.32857143,95.5,82.81428571,2,3.114285714,50,72
China,13/03/2020,22,57.8,61.87142857,95.8,84.81428571,1.5,2.971428571,51,73
China,14/03/2020,19,59.5,60.82857143,72.5,82.7,3,3.114285714,52,74
China,15/03/2020,22,57.5,58.82857143,67.8,81.38571429,3.3,3.157142857,53,75
China,16/03/2020,25,60,57.61428571,70.8,79.21428571,3,2.971428571,54,76
China,17/03/2020,43,57.5,57.54285714,92.8,81.92857143,2.5,2.471428571,55,77
China,18/03/2020,23,58,57.9,94,84.17142857,2,2.471428571,56,78
China,19/03/2020,44,60,58.61428571,96,84.24285714,2,2.471428571,57,79
China,20/03/2020,99,67.5,60,87,82.98571429,2,2.542857143,58,80
China,21/03/2020,52,71.8,61.75714286,84.3,84.67142857,3.8,2.657142857,59,81
China,22/03/2020,65,75.8,64.37142857,74.3,85.6,6.3,3.085714286,60,82
China,23/03/2020,138,68.3,65.55714286,91,88.48571429,3,3.085714286,61,83
China,24/03/2020,69,68.5,67.12857143,92,88.37142857,3,3.157142857,62,84
China,25/03/2020,78,69.3,68.74285714,86,87.22857143,6.3,3.771428571,63,85
China,26/03/2020,102,71,70.31428571,82,85.22857143,2.8,3.885714286,64,86
China,27/03/2020,94,68.4,70.44285714,94.1,86.24285714,2.6,3.971428571,65,87
China,28/03/2020,119,54.3,67.94285714,76.5,85.12857143,6.9,4.414285714,66,88
China,29/03/2020,113,49.6,64.2,88.1,87.1,3.6,4.028571429,67,89
China,30/03/2020,98,48.4,61.35714286,93.5,87.45714286,3,4.028571429,68,90
China,31/03/2020,84,50,58.71428571,93.4,87.65714286,3,4.028571429,69,91
China,1/4/2020,54,54,56.52857143,82.8,87.2,2.5,3.485714286,70,92
China,2/4/2020,100,53.5,54.02857143,96.5,89.27142857,4.9,3.785714286,71,93
China,3/4/2020,70,54.6,52.05714286,95.1,89.41428571,2.5,3.771428571,72,94
China,4/4/2020,62,55.5,52.22857143,88.8,91.17142857,3.3,3.257142857,73,95
China,5/4/2020,48,56,53.14285714,93.9,92,2.3,3.071428571,74,96
China,6/4/2020,67,55.4,54.14285714,93.1,91.94285714,1.5,2.857142857,75,97
China,7/4/2020,56,61.1,55.72857143,77.6,89.68571429,1.5,2.642857143,76,98
China,8/4/2020,86,64,57.15714286,70.3,87.9,2.3,2.614285714,77,99
China,9/4/2020,86,67.3,59.12857143,63.5,83.18571429,2.5,2.271428571,78,100
China,10/4/2020,55,68.8,61.15714286,67.8,79.28571429,2.3,2.242857143,79,101
China,11/4/2020,79,63.6,62.31428571,83,78.45714286,4.6,2.428571429,80,102
China,12/4/2020,93,57.9,62.58571429,57.6,73.27142857,6.8,3.071428571,81,103
