countries,dateRep,cases,temp_f,moving_avg_temp,humidity,moving_avg_humidity,wind_speed,moving_avg_wind_speed,quarantine_days
Spain,1/1/2020,0,38,,84.4,,2.1,,0
Spain,2/1/2020,0,37.6,,83.8,,1.8,,0
Spain,3/1/2020,0,35.1,,95.3,,1.7,,0
Spain,4/1/2020,0,39.1,,82.8,,3.6,,0
Spain,5/1/2020,0,38.1,,78.7,,2.5,,0
Spain,6/1/2020,0,38.3,,78.3,,2.3,,0
Spain,7/1/2020,0,38.6,37.82857143,74.7,82.57142857,2.1,2.3,0
Spain,8/1/2020,0,40.5,38.18571429,69.5,80.44285714,1.8,2.257142857,0
Spain,9/1/2020,0,41.9,38.8,75.5,79.25714286,3.6,2.514285714,0
Spain,10/1/2020,0,42.7,39.88571429,72.5,76,5.6,3.071428571,0
Spain,11/1/2020,0,38.5,39.8,70.6,74.25714286,3.3,3.028571429,0
Spain,12/1/2020,0,34.2,39.24285714,72.3,73.34285714,2,2.957142857,0
Spain,13/01/2020,0,33.2,38.51428571,79.7,73.54285714,3.2,3.085714286,0
Spain,14/01/2020,0,33.8,37.82857143,82.4,74.64285714,3,3.214285714,0
Spain,15/01/2020,0,40.5,37.82857143,84.9,76.84285714,2.2,3.271428571,0
Spain,16/01/2020,0,47,38.55714286,83.6,78,2.7,3.142857143,0
Spain,17/01/2020,0,47.1,39.18571429,77.6,78.72857143,6,3.2,0
Spain,18/01/2020,0,43,39.82857143,90.3,81.54285714,3.6,3.242857143,0
Spain,19/01/2020,0,44.1,41.24285714,59.8,79.75714286,11.4,4.585714286,0
Spain,20/01/2020,0,39.7,42.17142857,41.8,74.34285714,10.7,5.657142857,0
Spain,21/01/2020,0,42.1,43.35714286,68.5,72.35714286,11.7,6.9,0
Spain,22/01/2020,0,44.8,43.97142857,72.8,70.62857143,6.8,7.557142857,0
Spain,23/01/2020,0,41.8,43.22857143,81.5,70.32857143,2.4,7.514285714,0
Spain,24/01/2020,0,45.3,42.97142857,87.7,71.77142857,3,7.085714286,0
Spain,25/01/2020,0,45.3,43.3,93.8,72.27142857,3.5,7.071428571,0
Spain,26/01/2020,0,43.6,43.22857143,89.6,76.52857143,3.2,5.9,0
Spain,27/01/2020,0,41.4,43.47142857,92.3,83.74285714,4.5,5.014285714,0
Spain,28/01/2020,0,51.9,44.87142857,86.8,86.35714286,15.5,5.557142857,0
Spain,29/01/2020,0,53.6,46.12857143,84.1,87.97142857,8,5.728571429,0
Spain,30/01/2020,0,51.2,47.47142857,83.9,88.31428571,7.3,6.428571429,0
Spain,31/01/2020,0,54.1,48.72857143,83.3,87.68571429,6.3,6.9,0
Spain,1/2/2020,1,57.1,50.41428571,83.9,86.27142857,7.5,7.471428571,0
Spain,2/2/2020,0,53.2,51.78571429,89.8,86.3,1.4,7.214285714,0
Spain,3/2/2020,0,52.3,53.34285714,86.1,85.41428571,3.4,7.057142857,0
Spain,4/2/2020,0,50,53.07142857,79.2,84.32857143,2.7,5.228571429,0
Spain,5/2/2020,0,46.4,52.04285714,63.3,81.35714286,3,4.514285714,0
Spain,6/2/2020,0,41.1,50.6,83.1,81.24285714,3.5,3.971428571,0
Spain,7/2/2020,0,44.4,49.21428571,84.8,81.45714286,3.2,3.528571429,0
Spain,8/2/2020,0,44.1,47.35714286,92.1,82.62857143,2.4,2.8,0
Spain,9/2/2020,0,46.5,46.4,89.5,82.58571429,2.4,2.942857143,0
Spain,10/2/2020,1,48.1,45.8,90.9,83.27142857,2.1,2.757142857,0
Spain,11/2/2020,0,46.2,45.25714286,95.6,85.61428571,1.6,2.6,0
Spain,12/2/2020,0,49.4,45.68571429,92.9,89.84285714,3,2.6,0
Spain,13/02/2020,0,52.2,47.27142857,84.4,90.02857143,4.8,2.785714286,0
Spain,14/02/2020,0,47.6,47.72857143,87.4,90.4,1.7,2.571428571,0
Spain,15/02/2020,0,45.7,47.95714286,83.5,89.17142857,2.7,2.614285714,0
Spain,16/02/2020,0,48.3,48.21428571,80.8,87.92857143,4.8,2.957142857,0
Spain,17/02/2020,0,47.6,48.14285714,90.1,87.81428571,2.2,2.971428571,0
Spain,18/02/2020,0,46.4,48.17142857,77.1,85.17142857,3.6,3.257142857,0
Spain,19/02/2020,0,45.8,47.65714286,66.1,81.34285714,3.1,3.271428571,0
Spain,20/02/2020,0,44.2,46.51428571,68.2,79.02857143,2.5,2.942857143,0
Spain,21/02/2020,0,47.9,46.55714286,57.9,74.81428571,2.4,3.042857143,0
Spain,22/02/2020,0,48.5,46.95714286,58.6,71.25714286,2.2,2.971428571,0
Spain,23/02/2020,0,50.5,47.27142857,53.8,67.4,2.1,2.585714286,0
Spain,24/02/2020,0,50.5,47.68571429,57.3,62.71428571,3.3,2.742857143,0
Spain,25/02/2020,1,48.6,48,65,60.98571429,7.2,3.257142857,0
Spain,26/02/2020,4,52.6,48.97142857,50.4,58.74285714,9,4.1,0
Spain,27/02/2020,5,52.8,50.2,53,56.57142857,9.1,5.042857143,0
Spain,28/02/2020,13,51.3,50.68571429,56.5,56.37142857,3,5.128571429,0
Spain,29/02/2020,9,50.8,51.01428571,69.1,57.87142857,13.6,6.757142857,0
Spain,1/3/2020,32,52.6,51.31428571,75.6,60.98571429,15.6,8.685714286,0
Spain,2/3/2020,17,52.1,51.54285714,62.9,61.78571429,23.7,11.6,0
Spain,3/3/2020,31,50.9,51.87142857,68,62.21428571,13.8,12.54285714,0
Spain,4/3/2020,37,58.3,52.68571429,66.1,64.45714286,14.1,13.27142857,0
Spain,5/3/2020,49,55.2,53.02857143,66.9,66.44285714,15.6,14.2,0
Spain,6/3/2020,61,49.4,52.75714286,47.9,65.21428571,15.8,16.02857143,0
Spain,7/3/2020,113,46.9,52.2,55.4,63.25714286,3.5,14.58571429,0
Spain,8/3/2020,56,47.1,51.41428571,66.7,61.98571429,4.5,13,0
Spain,9/3/2020,159,53.8,51.65714286,53.7,60.67142857,6.8,10.58571429,0
Spain,10/3/2020,615,54.4,52.15714286,53.8,58.64285714,2.5,8.971428571,0
Spain,11/3/2020,435,58.6,52.2,61,57.91428571,2.6,7.328571429,0
Spain,12/3/2020,501,60.3,52.92857143,61.5,57.14285714,2.7,5.485714286,0
Spain,13/03/2020,864,60.4,54.5,59.6,58.81428571,3.6,3.742857143,0
Spain,14/03/2020,1227,59.3,56.27142857,59.7,59.42857143,2.4,3.585714286,0
Spain,15/03/2020,1522,54.9,57.38571429,65.1,59.2,5.9,3.785714286,0
Spain,16/03/2020,2000,45.1,56.14285714,81,63.1,7.6,3.9,1
Spain,17/03/2020,1438,50.8,55.62857143,78.8,66.67142857,5.8,4.371428571,2
Spain,18/03/2020,1987,54.3,55.01428571,74.6,68.61428571,2.6,4.371428571,3
Spain,19/03/2020,2538,54.9,54.24285714,67.5,69.47142857,5.1,4.714285714,4
Spain,20/03/2020,3431,52.9,53.17142857,69.6,70.9,4.8,4.885714286,5
Spain,21/03/2020,2833,48.2,51.58571429,83.6,74.31428571,3.1,4.985714286,6
Spain,22/03/2020,4946,48.5,50.67142857,86.7,77.4,3.9,4.7,7
Spain,23/03/2020,3646,50.4,51.42857143,84.7,77.92857143,3.7,4.142857143,8
Spain,24/03/2020,4517,53.4,51.8,69.3,76.57142857,5.6,4.114285714,9
Spain,25/03/2020,6584,53,51.61428571,62.4,74.82857143,6.4,4.657142857,10
Spain,26/03/2020,7937,48.2,50.65714286,47.7,72,6.2,4.814285714,11
Spain,27/03/2020,8578,43.6,49.32857143,67.3,71.67142857,5.3,4.885714286,12
Spain,28/03/2020,7871,46.2,49.04285714,64.1,68.88571429,3.1,4.885714286,13
Spain,29/03/2020,8189,51.4,49.45714286,56.9,64.62857143,4.1,4.914285714,14
Spain,30/03/2020,6549,43.3,48.44285714,68.2,62.27142857,9,5.671428571,15
Spain,31/03/2020,6398,40.3,46.57142857,95.3,65.98571429,6.5,5.8,16
Spain,1/4/2020,9222,49,46,85.7,69.31428571,2.8,5.285714286,17
Spain,2/4/2020,7719,47,45.82857143,77.8,73.61428571,4.8,5.085714286,18
Spain,3/4/2020,8102,50.1,46.75714286,63.9,73.12857143,2.8,4.728571429,19
Spain,4/4/2020,7472,51,47.44285714,66.2,73.42857143,7.4,5.342857143,20
Spain,5/4/2020,7026,57.8,48.35714286,63.6,74.38571429,5.6,5.557142857,21
Spain,6/4/2020,6023,59,50.6,75.9,75.48571429,6,5.128571429,22
Spain,7/4/2020,4273,57.5,53.05714286,89.4,74.64285714,3.5,4.7,23
Spain,8/4/2020,5478,60.3,54.67142857,76,73.25714286,3,4.728571429,24
Spain,9/4/2020,6180,56,55.95714286,81,73.71428571,2.4,4.385714286,25
Spain,10/4/2020,5756,54.1,56.52857143,94.1,78.02857143,2.7,4.371428571,26
Spain,11/4/2020,4576,58.2,57.55714286,76,79.42857143,2.5,3.671428571,27
Spain,12/4/2020,4830,58.5,57.65714286,59.6,78.85714286,4.1,3.457142857,28
